treatment,el1,index_ctotal_el1,index_foodsecurity_el1,ind_fin_el1,ind_increv_updated_el1,asset_ind_tot_el1,vil_ham
0,1,-.38514009,-.34865487,-.12297449,-.3555696,-1.3478895,8
0,1,-.38007957,.4986659,-.22273867,-.13661097,.68730175,31
0,1,.24444243,.37808228,-.23269525,-.91999626,-1.0546074,95
1,1,.95610499,.4986659,.15231174,.22832008,.56595016,97
1,1,-.059954628,.4986659,.081293643,-1.2314041,-.16831058,94
0,1,-.015040337,.051149033,-.14791101,-1.2314041,,35
1,1,1.6758583,1.8486543,1.0450351,1.3960996,.58557522,109
1,1,-.63175112,.4986659,-.18282217,.10667649,.41670573,31
1,1,,,,,,66
1,1,.5779137,.37808228,.21615651,1.3960996,.34458914,7
0,1,,,,,,31
1,1,,,,,,11
0,1,-.42250314,.4986659,.59785384,2.0773041,-.75487489,13
1,1,-.30541268,.4986659,.19122298,-.67670888,1.0972377,83
1,1,-.8532666,.051149033,-.18283421,.32563502,,93
1,1,2.0761132,.4986659,-.18830821,.32563502,-.85693586,76
1,1,.9024142,.37808228,.036595367,-.56187725,-.37420911,64
0,1,.17505328,1.8486543,.026644764,3.887362,.70311671,50
1,1,.17081931,1.8486543,-.22771996,-.74482936,1.2763574,110
0,1,.1833667,.4986659,-.1977841,-.42369002,-.32238644,7
0,1,-.36219272,-.34865487,.24602623,-1.1340891,1.8458953,112
1,1,1.8015294,-.34865487,-.23269525,1.5518034,-.46261403,46
1,1,,,,,,8
1,1,,,,,,16
0,1,,,,,,87
0,1,.14868039,.4986659,-.073101401,-1.0367742,,1
0,1,-.29853585,.051149033,-.28256834,.37429249,-.35953176,96
1,1,1.7355796,1.8486543,2.2509606,3.7316585,4.3723841,4
1,1,1.8533325,.4986659,.24805723,.52026492,,40
1,1,1.9490194,.051149033,-.11301188,-.53073651,-.61706072,23
0,1,-.52170664,.4986659,.44557869,-.11228214,.042235825,7
1,1,-.053726997,-.37463129,-.10303727,-.6475144,-.86502916,110
0,1,,,,,,34
1,1,,,,,,16
1,1,-.068348385,.4986659,.066543229,.47160745,.92313993,119
1,1,.73202407,2.0655677,.086372286,2.6611936,3.0774479,73
0,1,-1.0268821,.098861992,-.27259374,-1.0124454,-1.3478895,86
0,1,-.14588459,1.8486543,1.3133702,-.14147666,-.33786693,39
1,1,.3085767,.4986659,-.029225092,.5689224,,110
